"id" "age" "emp" "cmean_emp" "emp_prev" "ln_roa" "exit_term" "assp_soc_prev" "assp_soc" "assp_hist"
"689" 140 4 2 2.5 3 0 0 -1140290.625 -1071147.20703125 12559.33203125
"690" 140 5 1 2.33333333333333 2 0 0 -1309198.25 -1140290.625 -62600
"694" 143 5 3 3 3 0 0 2329623.25 1930975.375 357539.75
"695" 143 6 1 3 3 0.0549436435103416 1 6092196 2329623.25 2851705
"696" 143 7 2 2.33333333333333 1 0.0155038964003325 0 4147433 6092196 -2230286
"697" 143 8 6 2.25 2 0.0114195989444852 0 617610.125 4147433 -2230286
"700" 144 2 2 2 2 0 0 800378.75 -323984.375 1178193.5
"709" 145 7 8 7 7 0.213632881641388 0 -116216.1875 -133881.21875 28254.65625
"710" 145 8 8 7.5 8 0.278452187776566 0 -81550.75 -116216.1875 75460.125
"711" 145 9 8 7.66666666666667 8 0.139715909957886 0 -43430.125 -81550.75 93306.5
"712" 145 10 9 7.75 8 0.035386998206377 0 108553 -43430.125 163789.75
"713" 145 11 11 8 9 0.214555650949478 0 -171262.625 108553 -190796.125
"714" 145 12 12 8.5 11 0.0249206889420748 0 -80934.0625 -171262.625 123986.5625
"718" 148 7 1 1 1 0.1624815762043 0 -137258.875 -959271 873689
"738" 149 2 1 1 1 0.0139057151973248 1 -486239.875 460650.75 -851848
"743" 150 13 3 3 3 0.0383593142032623 0 -637617.25 -502703.96875 -14635.65625
"744" 150 14 3 3 3 0.0615096129477024 0 -580146.125 -637617.25 -7502
"747" 152 2 3 10 10 0.0460696667432785 1 3096030.25 -788490.375 2851705
"748" 152 3 4 6.5 3 0.227610200643539 0 775139.625 3096030.25 -2230286
"749" 152 4 1 5.66666666666667 4 0.253534972667694 0 3665980.375 775139.625 2851705
"759" 154 12 55 71 71 0 0 -620657.75 -1945013 801670
"760" 154 13 68 63 55 0 0 -1303642.5 -620657.75 -825995.25
"761" 154 14 68 64.6666666666667 68 0 0 -498277.75 -1303642.5 -340927.25
"763" 155 11 1 16 16 0.054195698350668 1 181852.6875 4048165.375 -2230286
"765" 156 2 1 1 1 0.194063410162926 0 -31994.125 -375995.5 339145
"766" 156 3 1 1 1 0.00769273098558187 0 -79140.3125 -31994.125 32286
"769" 158 2 1 1 1 0.00595333194360137 0 -699351.375 -751109.5 2001
"770" 158 3 1 1 1 0 0 -761307.625 -699351.375 1
"771" 158 4 1 1 1 0 0 -622419.75 -761307.625 40446
"772" 158 5 1 1 1 0 0 -909724.125 -622419.75 33230
"774" 159 9 20 34 34 0.0389610156416893 0 -817498.6484375 14761.6875 -807648.8984375
"775" 159 10 15 27 20 0 0 -841241.984375 -817498.6484375 12269.6015625
"776" 159 11 11 23 15 0.00121617130935192 0 -709081.515625 -841241.984375 161015.15625
"777" 159 12 9 20 11 0 0 1526874 -709081.515625 2289785.890625
"779" 160 2 12 20 20 0.238813266158104 1 371632.34375 -788949.5625 466846.875
"781" 161 11 39 60 60 0 0 3496537.25 1951012.5 1737475.25
"782" 161 12 40 49.5 39 0 0 1611916.5 3496537.25 -2069849.25
"795" 164 12 20 13 13 0.0510083511471748 0 -1945013 -1945013 -494920.125
"796" 164 13 28 16.5 20 0.000349696434568614 0 -1945013 -1945013 469095.875
"797" 164 14 21 20.3333333333333 28 0.000649735331535339 0 -1945013 -1945013 70581
"799" 165 2 11 12 12 0.0182503163814545 0 -1885318.6875 -164227.6875 40586.75
"800" 165 3 9 11.5 11 0.331936985254288 0 -3246.125 -1885318.6875 160718.25
"801" 165 4 8 10.6666666666667 9 0.267299711704254 0 26949.625 -3246.125 70612.4375
"802" 165 5 9 10 8 0.236047744750977 0 -403594.125 26949.625 -249425.875
"803" 165 6 9 9.8 9 0.0239553097635508 0 -401053.375 -403594.125 -35570.4375
